timestamp,downlink_rolled_mbps_3,uplink_rolled_mbps_3,downlink_rolled_mbps_4,uplink_rolled_mbps_4,downlink_rolled_mbps_2,uplink_rolled_mbps_2,sw_power_baseline,avg_power_baseline,nr_ssRsrp_avg,rsrp,nr_ssRsrp,nr_ssSinr,rsrp_avg,nrStatus,nr_ssSinr_avg,provider,direction,radio_type_used,sw_power_rolled,avg_power_rolled,avg_power,sw_power,downlink_mbps,uplink_mbps,Throughput
1/25/21 20:02,0.03296,0.003149333,1.292622,0.017082,0.02784,0.003476,1565.767026,1973.300998,-91.33333333,-90,-90,28,-91.33333333,CONNECTED,26.22222222,TMobile,downlink,NSA+LTE,3923.039567,4330.573539,4328.685017,3609.594667,0.05568,0.002976,0
1/25/21 20:13,116.7571307,0.246784,119.54664,0.230112,108.4992,0.235584,2401.203859,2911.433835,-90,-90,-90,-3,-90,CONNECTED,-3,TMobile,downlink,NSA+LTE,4758.4764,5268.706375,5270.05109,4984.9632,125.411104,0.247136,122
1/23/21 13:56,104.134848,0.493184,100.437648,0.479256,106.845504,0.4908,2306.148462,2907.95208,-90,-90,-90,-1,-90,CONNECTED,-1.2,TMobile,downlink,NSA+LTE,4655.401303,5257.204921,5257.677516,4947.7624,120.36448,0.52832,108
1/23/21 13:56,101.6981973,0.439797333,100.952032,0.454336,105.884032,0.433056,2314.903992,3141.682309,-90.2,-90,-90,-2,-90.2,CONNECTED,-2.9,TMobile,downlink,NSA+LTE,4664.156833,5490.93515,5490.98952,4976.6528,91.403584,0.337792,97.6
1/23/21 13:56,65.99613867,0.255008,63.925544,0.250016,67.179936,0.233168,2224.285079,2136.892181,-90.9,-90,-90,-3,-90.9,CONNECTED,-5.7,TMobile,downlink,NSA+LTE,4573.53792,4486.145022,4485.79404,4027.0216,67.752416,0.220064,57.8
1/23/21 13:56,68.60450133,0.24128,67.360512,0.255632,69.603024,0.238784,2213.741959,2294.160321,-90.2,-90,-90,-3,-90.2,CONNECTED,-3,TMobile,downlink,NSA+LTE,4562.9948,4643.413162,4643.83704,4412.7272,71.453632,0.257504,67.5
1/23/21 13:56,69.56101333,0.237813333,68.822624,0.239928,70.465312,0.246688,2173.295399,2386.442882,-91.8,-90,-90,-3,-91.8,CONNECTED,-3,TMobile,downlink,NSA+LTE,4522.54824,4735.695723,4734.554531,4073.9216,69.476992,0.235872,67.9
1/23/21 13:56,67.07371733,0.230464,67.243392,0.227864,64.88376,0.216944,2117.428119,2210.387869,-90.1,-90,-90,-3,-90.1,CONNECTED,-3.3,TMobile,downlink,NSA+LTE,4466.68096,4559.64071,4560.08562,4141.4576,60.290528,0.198016,59.2
1/23/21 12:18,48.30965333,0.249184,52.677048,0.26104,47.431952,0.234416,2294.005738,2347.907376,-90,-90,-90,-4,-90,CONNECTED,-4,TMobile,downlink,NSA+LTE,4677.97545,4731.877088,4731.95672,4534.6635,46.495712,0.208832,57.5
1/23/21 12:18,95.502208,0.252778667,76.567808,0.246856,98.383424,0.244128,2110.243738,2464.358528,-90,-90,-90,0,-90,CONNECTED,0,TMobile,downlink,NSA+LTE,4494.21345,4848.32824,4848.59344,4459.9635,98.322592,0.236,80.7
